workload,orders,tickers,threads,engine,wall_time_us,cycles,instructions,ipc,cache_misses,l1_misses,cache_miss_rate
balanced,100000,8,1,coarse,29771,207357484,297933808,1.44,703650,4201295,8.38
balanced,100000,8,1,fine,32325,217669016,322545654,1.48,702069,4422274,7.93
balanced,100000,8,2,coarse,16721,202444839,293694437,1.45,1081963,3206062,17.14
balanced,100000,8,2,fine,18626,215563426,317970986,1.48,1077114,3329374,16.53
balanced,100000,8,4,coarse,10360,203339818,295673981,1.45,1108366,3254419,16.88
balanced,100000,8,4,fine,11422,217637983,318853039,1.47,1062138,3361565,15.97
balanced,100000,8,8,coarse,7469,207477319,299455218,1.44,1034270,3392540,14.76
balanced,100000,8,8,fine,7948,223456079,323906628,1.45,1061647,3481937,14.34
balanced,500000,8,1,coarse,184688,1353548700,1465752623,1.08,13352621,23799508,27.17
balanced,500000,8,1,fine,195982,1420975376,1586221137,1.12,13369501,24850538,25.93
balanced,500000,8,2,coarse,88066,1104404787,1471175053,1.33,10095008,18421160,24.71
balanced,500000,8,2,fine,95640,1180950209,1592396071,1.35,10136920,18808719,24.56
balanced,500000,8,4,coarse,52954,1129729609,1466034163,1.30,9820405,17783789,25.16
balanced,500000,8,4,fine,56610,1200355606,1586735027,1.32,10052601,18370349,25.15
balanced,500000,8,8,coarse,38937,1216969730,1468801705,1.21,10477655,17002728,28.01
balanced,500000,8,8,fine,41506,1286075095,1589986558,1.24,10554014,17512101,27.47
balanced,5000000,8,1,coarse,2729763,20525016248,14682864506,0.72,284036646,267319220,46.90
balanced,5000000,8,1,fine,2807750,20777794920,15887278173,0.76,284079108,279041536,44.88
balanced,5000000,8,2,coarse,1311433,17253343719,15137938308,0.88,247687261,225660882,46.95
balanced,5000000,8,2,fine,1373977,17993678770,16318053275,0.91,243240449,233099118,45.32
balanced,5000000,8,4,coarse,834143,18585376349,15275121603,0.82,265873622,229098804,48.35
balanced,5000000,8,4,fine,857964,19130456254,16457762092,0.86,264911322,234096549,47.41
balanced,5000000,8,8,coarse,551802,19098995279,15177494294,0.79,260916616,227467251,48.15
balanced,5000000,8,8,fine,564087,19831800310,16385592793,0.83,262021510,233109968,47.42
crossing,100000,8,1,coarse,19527,131673022,245575072,1.87,541831,1472607,28.40
crossing,100000,8,1,fine,20316,139457617,264862642,1.90,563080,1633239,26.89
crossing,100000,8,2,coarse,12090,140158519,243745430,1.74,775124,1506867,24.97
crossing,100000,8,2,fine,18127,150982691,262777384,1.74,798044,1545149,25.05
crossing,100000,8,4,coarse,10112,140268221,245046242,1.75,797554,1531603,24.92
crossing,100000,8,4,fine,9149,153898911,263528862,1.71,838092,1580270,25.40
crossing,100000,8,8,coarse,8332,142348206,247347354,1.74,820629,1629295,23.33
crossing,100000,8,8,fine,9636,154395717,265994428,1.72,844151,1632588,23.66
crossing,500000,8,1,coarse,89887,638658198,1205348307,1.89,4350008,7010660,52.33
crossing,500000,8,1,fine,100108,677971033,1299116940,1.92,4277813,7726467,46.43
crossing,500000,8,2,coarse,63160,721718740,1193512662,1.65,8244187,7222506,58.47
crossing,500000,8,2,fine,69011,791656647,1285483336,1.62,8322043,7324209,57.86
crossing,500000,8,4,coarse,39106,722627256,1197827489,1.66,7875674,7364159,54.82
crossing,500000,8,4,fine,42914,776438656,1289392261,1.66,7639050,7358148,52.71
crossing,500000,8,8,coarse,30065,695634815,1203011213,1.73,6232025,7527886,42.74
crossing,500000,8,8,fine,31917,756303098,1294558422,1.71,6264837,7597302,42.17
crossing,5000000,8,1,coarse,880567,6509100037,12093129989,1.86,47065239,70487836,51.84
crossing,5000000,8,1,fine,973195,6909450930,13037389784,1.89,46775520,78291843,50.17
crossing,5000000,8,2,coarse,649443,7711785806,12194713535,1.58,100920888,78499169,68.13
crossing,5000000,8,2,fine,710822,8304675365,13105632469,1.58,100038280,77951229,67.82
crossing,5000000,8,4,coarse,408047,7577582746,12196412350,1.61,90861717,77409829,62.55
crossing,5000000,8,4,fine,439623,8174466207,13107217339,1.60,89818516,77311395,61.68
crossing,5000000,8,8,coarse,308916,7172905085,12196797907,1.70,68794218,77270981,47.50
crossing,5000000,8,8,fine,326700,7746136579,13104801488,1.69,68347092,77362359,46.91
resting,100000,8,1,coarse,34477,241123619,315609301,1.31,864688,5351837,7.30
resting,100000,8,1,fine,35913,246408924,337572336,1.37,843521,5574215,6.81
resting,100000,8,2,coarse,18716,236478200,322530395,1.36,1215973,4678633,12.07
resting,100000,8,2,fine,22318,247190595,344683889,1.39,1239634,4810406,11.97
resting,100000,8,4,coarse,13108,234158768,321348636,1.37,1231399,4605023,12.39
resting,100000,8,4,fine,13874,245828977,344337653,1.40,1212681,4735526,11.85
resting,100000,8,8,coarse,9247,237989370,321381317,1.35,1204364,4391891,12.14
resting,100000,8,8,fine,9488,251028262,343548383,1.37,1216134,4529449,11.98
resting,500000,8,1,coarse,248588,1935235700,1548755296,0.80,24931314,31194841,35.32
resting,500000,8,1,fine,258145,1968245364,1655156855,0.84,24790359,31788925,34.17
resting,500000,8,2,coarse,98618,1288703920,1568399859,1.22,11467568,23514671,21.20
resting,500000,8,2,fine,104073,1340201935,1677618893,1.25,11309805,24144437,20.57
resting,500000,8,4,coarse,64016,1397687066,1567342044,1.12,12954364,23120698,23.92
resting,500000,8,4,fine,67547,1454997292,1676879151,1.15,12836340,23739449,23.37
resting,500000,8,8,coarse,49432,1565453806,1566758186,1.00,14655542,22255655,27.87
resting,500000,8,8,fine,52831,1681994318,1689918225,1.00,15240141,23253856,27.29
resting,5000000,8,1,coarse,3391996,26016202466,15482928272,0.60,390625884,336959599,46.58
resting,5000000,8,1,fine,3451479,26226457843,16555441140,0.63,390098226,348551649,45.24
resting,5000000,8,2,coarse,1596579,22305964427,16059684365,0.72,343828782,296423425,47.10
resting,5000000,8,2,fine,1695781,22891212411,17227744377,0.75,347321503,304395228,46.40
resting,5000000,8,4,coarse,999839,23956977031,16179772071,0.68,369248699,297918326,49.60
resting,5000000,8,4,fine,1044101,24444629972,17317954559,0.71,370103072,304428952,48.34
resting,5000000,8,8,coarse,648366,24726916715,16037035976,0.65,363188527,295970737,50.02
resting,5000000,8,8,fine,685395,25596675862,17220842954,0.67,372787994,304427326,49.20
